movie_name,director,cast_name,country_name,subgenre_name
Aftershock ,Frank Harris,"James Lew, Michael Standing, Elizabeth Kaitan",United States,"[1]
"
Back to the Future Part III,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",United States,"
"
Bride of Re-Animator,Brian Yuzna,"Jeffrey Combs, Bruce Abbott, Claude Earl Jones",United States,"Science fiction horror[2]
"
Circuitry Man,Steven Lovy,"Dana Wheeler-Nicholson, Jim Metzler",United States,"[3]
"
Class of 1999,Mark L. Lester,"Bradley Gregg, Traci Lind, Malcolm McDowell, Pam Grier",United States,"
"
"Darkman
","Sam Raimi
","Liam Neeson, Frances McDormand, Colin Friels, Larry Drake
","United States
","Superhero film
"
The Dark Side of the Moon,D. J. Webster,"Robert Sampson, Will Bledsoe, Joe Turkel",United States,"
"
Dragon Ball Z: The World's Strongest,Daisuke Nishio,"Masako Nozawa (voice), Mayumi Tanaka (voice), Tōru Furuya (voice)",Japan,"Fifth anime film in the Dragon Ball franchise
"
Dragon Ball Z: The Tree of Might,Daisuke Nishio,"Masako Nozawa (voice), Kōji Nakata (voice), Kōji Yada (voice)",Japan,"Sixth anime film in the Dragon Ball franchise
"
"Tim Burton
","Vincent Price, Johnny Depp, Winona Ryder, Anthony Michael Hall
","United States
","
","[4]
"
Fatal Sky,Frank Shields,"Michael Nouri, Darlanne Fluegel, Maxwell Caulfield","United States, Australia, Yugoslavia","[nb 1][5]
"
Frankenhooker,Frank Henenlotter,"James Lorinz, Patty Mullen, Louise Lasser",United States,"Sci-fi horror comedy[6]
"
The Witches Cave,Yuri Moroz,"Segej Zhigunov, Dmitrij Pevcov, Marina Levtova, Nikolaj Karachencov",Soviet UnionCzechoslovakia,"action
"
Maroko,Mamoru Oshii,"Masako Katsuki (voice), Toshio Furukawa (voice), Kenichi Ogata (voice)",Japan,"Comedy drama anime[7]
"
The Handmaid's Tale,Volker Schlöndorff,"Natasha Richardson, Robert Duvall, Faye Dunaway, Aidan Quinn",United States,"
"
Hardware,Richard Stanley,"Dylan McDermott, Stacey Travis, John Lynch",United KingdomUnited States,"
"
I Come in Peace,Craig R. Baxley,"Dolph Lundgren, Betsy Brantley, Brian Benben",United States,"
"
Martians Go Home,David Odell,"Randy Quaid, Anita Morris, Margaret Colin, Vic Dunlop",United States,"[8][9]
"
Metamorphosis: The Alien Factor,Glenn Takajian,"Tara Leigh, Tony Gigante, Dianna Flaherty, Katherine Romaine",United States,"[10][11]
"
Moon 44,Roland Emmerich,"Michael Paré, Malcolm McDowell, Lisa Eichhorn",GermanyUnited States,"
"
Omega Cop,Paul Kyriazi,"Adam West, Ronald L. Marchini",United States,"
"
Once Upon a Time...,Galina Barinova,Alla Pokrovskaya (voice),Soviet Union,"Animated short film. Russian title: Когда-то давно..., tr. Kogda-to davno...[12][13][14][15][16]
"
Peacemaker,Kevin S. Tenney,"Robert Forster, Lance Edwards, Hilary Shepard",United States,"[17]
"
Predator 2,Stephen Hopkins,"Danny Glover, Gary Busey, Kevin Peter Hall",United States,"
"
The Rift,Juan Piquer Simón,"Jack Scalia, R. Lee Ermey, Ray Wise",Spain,"[18]
"
Rebel Storm,Franky Schaeffer,"Zach Galligan, Wayne Crawford, June Chadwick",United States,"[19]
"
RoboCop 2,Irvin Kershner,"Peter Weller, Nancy Allen, Dan O'Herlihy, Belinda Bauer",United States,"
"
Robot Jox,Stuart Gordon,"Gary Graham, Anne-Marie Johnson, Paul Koslo",United States,"
"
Shadowzone,J. S. Cardone,"Louise Fletcher, David Beecroft, James Hong",United States,"
"
Solar Crisis,Richard Sarafian,"Tim Matheson, Charlton Heston, Peter Boyle",Japan,"
"
Spaced Invaders,Patrick Read Johnson,"Douglas Barr, Royal Dano, Ariana Richards",United States,"
"
Steel and Lace,Ernest D. Farino,"Clare Wren, Bruce Davison, David Naughton",United States,"[20]
"
"George Elanjian Jr.
","Jeff Doucette, Christopher Burgard, Melanie Shatner
","United States
","Sequel to Scared to Death (1980)
","
"
A Taste for Flesh and Blood (a.k.a. Flesh Eaters from Outer Space),Warren F. Disbrow,"Greg Scott, Kathy Monks, Warren Disbrow Sr.",United States,"filmed in 1989[21]
"
Total Recall,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside",United States,"[nb 2]
"
Vaniusha the Newcomer,Vladimir Danilevich,"Boris Novikov (voice), Svetlana Kharlap (voice), Aleftina Yevdokimova (voice)",Soviet Union,"Stop-motion animation short film
"
Watchers II,Thierry Notz,"Marc Singer, Tracy Scoggins, Jonathan Farwell",United StatesCanada,"
"
A Wind Named Amnesia,Kazuo Yamazaki,,Japan,"Anime[22]
"
"Abraxas, Guardian of the Universe",Damian Lee,"Marjorie Bransfield, Sven-Ole Thorsen, James Belushi",United StatesCanada,"
"
And You Thought Your Parents Were Weird,Tony Cookson,"Joshua John Miller, Edan Gross, Marcia Strassman",United States,"
"
Bill & Ted's Bogus Journey,Peter Hewitt,"Keanu Reeves, Alex Winter, William Sadler",United States,"
"
Captain America,Albert Pyun,"Matt Salinger, Ronny Cox, Scott Paulin",United StatesYugoslavia,"
"
Critters 3,Kristine Peterson,"Aimee Brooks, John Calvin, Katherine Cortez",United States,"
"
Delicatessen,"Jean-Pierre Jeunet, Marc Caro","Dominique Pinon, Marie-Laure Dougnac, Jean-Claude Dreyfus",France,"Post-apocalyptic black comedy
"
Dollman,Albert Pyun,"Tim Thomerson, Jackie Earle Haley",United States,"
"
Dragon Ball Z: Lord Slug,Mitsuo Hashimoto,"Masako Nozawa (voice), Toshio Furukawa (voice), Kenji Utsumi (voice)",Japan,"Seventh anime film in the Dragon Ball franchise
"
Dragon Ball Z: Cooler's Revenge,Mitsuo Hashimoto,"Masako Nozawa (voice), Ryūsei Nakao (voice), Toshio Furukawa (voice)",Japan,"Eighth anime film in the Dragon Ball franchise
"
Eve of Destruction,Duncan Gibbins,"Gregory Hines, Renée Soutendijk, Michael Greene",United States,"
"
Godzilla vs. King Ghidorah,Kazuki Ōmori,"Kenpachiro Satsuma, Richard Berger",Japan,"
"
The Guyver,Steve Wang,"Mark Hamill, Jimmie Walker",United States,"
"
Naked Lunch,David Cronenberg,"Peter Weller, Judy Davis, Ian Holm",CanadaUnited KingdomJapan,"
"
Prayer of the Rollerboys,Rick King,"Corey Haim, Patricia Arquette, Christopher Collet",JapanUnited States,"
"
Riki-Oh: The Story of Ricky,Lam Nai-choi,"Fan Siu-wong, Fan Mei Sheng, Ho Ka-Kui",Hong Kong,Action film set in futuristic setting
Robotrix,Jamie Luk,"Chikako Aoyama, Hiu-Dan Hui, Amy Yip",Hong Kong,"[23]
"
